Sex;Provinces;Rates;Periodo;Total
Both sexes;21 Huelva;Unemployment rate;2022QIV;21,77
Both sexes;21 Huelva;Unemployment rate;2022QIII;17,26
Both sexes;21 Huelva;Unemployment rate;2022QII;12,24
Both sexes;21 Huelva;Unemployment rate;2022QI;18,24
Both sexes;21 Huelva;Unemployment rate;2021QIV;19,66
Both sexes;21 Huelva;Unemployment rate;2021QIII;26,79
Both sexes;21 Huelva;Unemployment rate;2021QII;13,38
Both sexes;21 Huelva;Unemployment rate;2021QI;20,7
Both sexes;21 Huelva;Employment rate;2023QIV;45,07
Both sexes;21 Huelva;Employment rate;2023QIII;45,57
Both sexes;21 Huelva;Employment rate;2023QII;49,56
Both sexes;21 Huelva;Employment rate;2023QI;44,64
Both sexes;21 Huelva;Employment rate;2022QIV;42,69
Both sexes;21 Huelva;Employment rate;2022QIII;44,46
Both sexes;21 Huelva;Employment rate;2022QII;49,83
Both sexes;21 Huelva;Employment rate;2022QI;44,6
Both sexes;21 Huelva;Employment rate;2021QIV;44,62
Both sexes;21 Huelva;Employment rate;2021QIII;39,42
Both sexes;21 Huelva;Employment rate;2021QII;49,02
Both sexes;21 Huelva;Employment rate;2021QI;41,88
Both sexes;22 Huesca;Activity rate;2023QIV;57,5
Both sexes;22 Huesca;Activity rate;2023QIII;57,42
Both sexes;22 Huesca;Activity rate;2023QII;57,03
Both sexes;22 Huesca;Activity rate;2023QI;56,67
Both sexes;22 Huesca;Activity rate;2022QIV;56,56
Both sexes;22 Huesca;Activity rate;2022QIII;58,78
Both sexes;22 Huesca;Activity rate;2022QII;57,78
Both sexes;22 Huesca;Activity rate;2022QI;58,02
Both sexes;22 Huesca;Activity rate;2021QIV;58,21
Both sexes;22 Huesca;Activity rate;2021QIII;60,98
Both sexes;22 Huesca;Activity rate;2021QII;59,42
Both sexes;22 Huesca;Activity rate;2021QI;57,81
Both sexes;22 Huesca;Unemployment rate;2023QIV;10,85
Both sexes;22 Huesca;Unemployment rate;2023QIII;6,41
Both sexes;22 Huesca;Unemployment rate;2023QII;8,06
Both sexes;22 Huesca;Unemployment rate;2023QI;7,78
Both sexes;22 Huesca;Unemployment rate;2022QIV;8,91
Both sexes;22 Huesca;Unemployment rate;2022QIII;10,27
Both sexes;22 Huesca;Unemployment rate;2022QII;10,87
Both sexes;22 Huesca;Unemployment rate;2022QI;6,77
Both sexes;22 Huesca;Unemployment rate;2021QIV;7,07
Both sexes;22 Huesca;Unemployment rate;2021QIII;7,33
Both sexes;22 Huesca;Unemployment rate;2021QII;6,75
Both sexes;22 Huesca;Unemployment rate;2021QI;9,11
Both sexes;22 Huesca;Employment rate;2023QIV;51,27
Both sexes;22 Huesca;Employment rate;2023QIII;53,74
Both sexes;22 Huesca;Employment rate;2023QII;52,43
Both sexes;22 Huesca;Employment rate;2023QI;52,26
Both sexes;22 Huesca;Employment rate;2022QIV;51,52
Both sexes;22 Huesca;Employment rate;2022QIII;52,75
Both sexes;22 Huesca;Employment rate;2022QII;51,5
Both sexes;22 Huesca;Employment rate;2022QI;54,09
Both sexes;22 Huesca;Employment rate;2021QIV;54,1
Both sexes;22 Huesca;Employment rate;2021QIII;56,51
Both sexes;22 Huesca;Employment rate;2021QII;55,4
Both sexes;22 Huesca;Employment rate;2021QI;52,55
Both sexes;23 Jaén;Activity rate;2023QIV;52,67
Both sexes;23 Jaén;Activity rate;2023QIII;52,69
Both sexes;23 Jaén;Activity rate;2023QII;51,93
Both sexes;23 Jaén;Activity rate;2023QI;51,06
Both sexes;23 Jaén;Activity rate;2022QIV;51,32
Both sexes;23 Jaén;Activity rate;2022QIII;52,4
Both sexes;23 Jaén;Activity rate;2022QII;52,28
Both sexes;23 Jaén;Activity rate;2022QI;53,22
Both sexes;23 Jaén;Activity rate;2021QIV;53,86
Both sexes;23 Jaén;Activity rate;2021QIII;53,07
Both sexes;23 Jaén;Activity rate;2021QII;51,73
Both sexes;23 Jaén;Activity rate;2021QI;52,48
Both sexes;23 Jaén;Unemployment rate;2023QIV;18,95
Both sexes;23 Jaén;Unemployment rate;2023QIII;23,25
Both sexes;23 Jaén;Unemployment rate;2023QII;17,07
Both sexes;23 Jaén;Unemployment rate;2023QI;13,96
Both sexes;23 Jaén;Unemployment rate;2022QIV;17,66
Both sexes;23 Jaén;Unemployment rate;2022QIII;18,93
Both sexes;23 Jaén;Unemployment rate;2022QII;19,64
Both sexes;23 Jaén;Unemployment rate;2022QI;18,36
Both sexes;23 Jaén;Unemployment rate;2021QIV;20,37
Both sexes;23 Jaén;Unemployment rate;2021QIII;22,59
Both sexes;23 Jaén;Unemployment rate;2021QII;24,25
Both sexes;23 Jaén;Unemployment rate;2021QI;20,14
Both sexes;23 Jaén;Employment rate;2023QIV;42,69
Both sexes;23 Jaén;Employment rate;2023QIII;40,45
Both sexes;23 Jaén;Employment rate;2023QII;43,07
Both sexes;23 Jaén;Employment rate;2023QI;43,93
Both sexes;23 Jaén;Employment rate;2022QIV;42,25
Both sexes;23 Jaén;Employment rate;2022QIII;42,48
Both sexes;23 Jaén;Employment rate;2022QII;42,01
Both sexes;23 Jaén;Employment rate;2022QI;43,45
Both sexes;23 Jaén;Employment rate;2021QIV;42,89
Both sexes;23 Jaén;Employment rate;2021QIII;41,08
Both sexes;23 Jaén;Employment rate;2021QII;39,19
Both sexes;23 Jaén;Employment rate;2021QI;41,91
Both sexes;24 León;Activity rate;2023QIV;49,49
Both sexes;24 León;Activity rate;2023QIII;51,15
Both sexes;24 León;Activity rate;2023QII;51,11
Both sexes;24 León;Activity rate;2023QI;50,51
Both sexes;24 León;Activity rate;2022QIV;50,82
Both sexes;24 León;Activity rate;2022QIII;52,98
Both sexes;24 León;Activity rate;2022QII;53,21
Both sexes;24 León;Activity rate;2022QI;51,98
Both sexes;24 León;Activity rate;2021QIV;51,34
Both sexes;24 León;Activity rate;2021QIII;52,09
Both sexes;24 León;Activity rate;2021QII;50,05
Both sexes;24 León;Activity rate;2021QI;49,04
Both sexes;24 León;Unemployment rate;2023QIV;10,34
Both sexes;24 León;Unemployment rate;2023QIII;10,41
Both sexes;24 León;Unemployment rate;2023QII;9,24
Both sexes;24 León;Unemployment rate;2023QI;11,07
Both sexes;24 León;Unemployment rate;2022QIV;7,78
Both sexes;24 León;Unemployment rate;2022QIII;9,41
Both sexes;24 León;Unemployment rate;2022QII;10,62
Both sexes;24 León;Unemployment rate;2022QI;12,79
Both sexes;24 León;Unemployment rate;2021QIV;11,8
Both sexes;24 León;Unemployment rate;2021QIII;10,53
Both sexes;24 León;Unemployment rate;2021QII;15,35
Both sexes;24 León;Unemployment rate;2021QI;14,12
Both sexes;24 León;Employment rate;2023QIV;44,37
Both sexes;24 León;Employment rate;2023QIII;45,83
Both sexes;24 León;Employment rate;2023QII;46,39
Both sexes;24 León;Employment rate;2023QI;44,92
Both sexes;24 León;Employment rate;2022QIV;46,87
Both sexes;24 León;Employment rate;2022QIII;48
Both sexes;24 León;Employment rate;2022QII;47,56
Both sexes;24 León;Employment rate;2022QI;45,33
Both sexes;24 León;Employment rate;2021QIV;45,28
Both sexes;24 León;Employment rate;2021QIII;46,6
Both sexes;24 León;Employment rate;2021QII;42,37
Both sexes;24 León;Employment rate;2021QI;42,12
Both sexes;25 Lleida;Activity rate;2023QIV;59,43
Both sexes;25 Lleida;Activity rate;2023QIII;60,76
Both sexes;25 Lleida;Activity rate;2023QII;58,82
Both sexes;25 Lleida;Activity rate;2023QI;57,64
Both sexes;25 Lleida;Activity rate;2022QIV;58,24
Both sexes;25 Lleida;Activity rate;2022QIII;59,13
Both sexes;25 Lleida;Activity rate;2022QII;60,66
Both sexes;25 Lleida;Activity rate;2022QI;61,1
Both sexes;25 Lleida;Activity rate;2021QIV;62,58
Both sexes;25 Lleida;Activity rate;2021QIII;62,86
Both sexes;25 Lleida;Activity rate;2021QII;61,56
Both sexes;25 Lleida;Activity rate;2021QI;63,35
Both sexes;25 Lleida;Unemployment rate;2023QIV;5,42
Both sexes;25 Lleida;Unemployment rate;2023QIII;7,63
Both sexes;25 Lleida;Unemployment rate;2023QII;7,71
Both sexes;25 Lleida;Unemployment rate;2023QI;8,69
Both sexes;25 Lleida;Unemployment rate;2022QIV;9,47
Both sexes;25 Lleida;Unemployment rate;2022QIII;10,61
Both sexes;25 Lleida;Unemployment rate;2022QII;10,3
Both sexes;25 Lleida;Unemployment rate;2022QI;6,91
Both sexes;25 Lleida;Unemployment rate;2021QIV;11,21
Both sexes;25 Lleida;Unemployment rate;2021QIII;11,31
Both sexes;25 Lleida;Unemployment rate;2021QII;9,95
Both sexes;25 Lleida;Unemployment rate;2021QI;11,96
Both sexes;25 Lleida;Employment rate;2023QIV;56,21
Both sexes;25 Lleida;Employment rate;2023QIII;56,12
Both sexes;25 Lleida;Employment rate;2023QII;54,29
Both sexes;25 Lleida;Employment rate;2023QI;52,63
Both sexes;25 Lleida;Employment rate;2022QIV;52,72
Both sexes;25 Lleida;Employment rate;2022QIII;52,86
Both sexes;25 Lleida;Employment rate;2022QII;54,42
Both sexes;25 Lleida;Employment rate;2022QI;56,88
Both sexes;25 Lleida;Employment rate;2021QIV;55,57
Both sexes;25 Lleida;Employment rate;2021QIII;55,75
Both sexes;25 Lleida;Employment rate;2021QII;55,44
Both sexes;25 Lleida;Employment rate;2021QI;55,77
Both sexes;27 Lugo;Activity rate;2023QIV;51,88
Both sexes;27 Lugo;Activity rate;2023QIII;52,99
Both sexes;27 Lugo;Activity rate;2023QII;52,43
Both sexes;27 Lugo;Activity rate;2023QI;52,7
Both sexes;27 Lugo;Activity rate;2022QIV;52,32
Both sexes;27 Lugo;Activity rate;2022QIII;51,38
Both sexes;27 Lugo;Activity rate;2022QII;52,39
Both sexes;27 Lugo;Activity rate;2022QI;51,29
Both sexes;27 Lugo;Activity rate;2021QIV;51,18
Both sexes;27 Lugo;Activity rate;2021QIII;53,03
Both sexes;27 Lugo;Activity rate;2021QII;52,75
Both sexes;27 Lugo;Activity rate;2021QI;52,27
Both sexes;27 Lugo;Unemployment rate;2023QIV;7,35
Both sexes;27 Lugo;Unemployment rate;2023QIII;9,39
Both sexes;27 Lugo;Unemployment rate;2023QII;8,15
Both sexes;27 Lugo;Unemployment rate;2023QI;8,83
Both sexes;27 Lugo;Unemployment rate;2022QIV;8,41
Both sexes;27 Lugo;Unemployment rate;2022QIII;7,79
Both sexes;27 Lugo;Unemployment rate;2022QII;8,99
Both sexes;27 Lugo;Unemployment rate;2022QI;10,2
Both sexes;27 Lugo;Unemployment rate;2021QIV;8,93
Both sexes;27 Lugo;Unemployment rate;2021QIII;8,62
Both sexes;27 Lugo;Unemployment rate;2021QII;9,83
Both sexes;27 Lugo;Unemployment rate;2021QI;8,82
Both sexes;27 Lugo;Employment rate;2023QIV;48,06
Both sexes;27 Lugo;Employment rate;2023QIII;48,02
Both sexes;27 Lugo;Employment rate;2023QII;48,16
Both sexes;27 Lugo;Employment rate;2023QI;48,04
Both sexes;27 Lugo;Employment rate;2022QIV;47,92
Both sexes;27 Lugo;Employment rate;2022QIII;47,38
Both sexes;27 Lugo;Employment rate;2022QII;47,69
Both sexes;27 Lugo;Employment rate;2022QI;46,06
Both sexes;27 Lugo;Employment rate;2021QIV;46,61
Both sexes;27 Lugo;Employment rate;2021QIII;48,46
Both sexes;27 Lugo;Employment rate;2021QII;47,57
Both sexes;27 Lugo;Employment rate;2021QI;47,66
Both sexes;28 Madrid;Activity rate;2023QIV;63,6
Both sexes;28 Madrid;Activity rate;2023QIII;63,31
Both sexes;28 Madrid;Activity rate;2023QII;63,43
Both sexes;28 Madrid;Activity rate;2023QI;63,29
Both sexes;28 Madrid;Activity rate;2022QIV;63,21
Both sexes;28 Madrid;Activity rate;2022QIII;62,9
Both sexes;28 Madrid;Activity rate;2022QII;63,79
Both sexes;28 Madrid;Activity rate;2022QI;63,9
Both sexes;28 Madrid;Activity rate;2021QIV;63,06
Both sexes;28 Madrid;Activity rate;2021QIII;63,53
Both sexes;28 Madrid;Activity rate;2021QII;63,64
Both sexes;28 Madrid;Activity rate;2021QI;63,31
Both sexes;28 Madrid;Unemployment rate;2023QIV;9,72
Both sexes;28 Madrid;Unemployment rate;2023QIII;10,53
Both sexes;28 Madrid;Unemployment rate;2023QII;9,56
Both sexes;28 Madrid;Unemployment rate;2023QI;11,01
Both sexes;28 Madrid;Unemployment rate;2022QIV;11,51
Both sexes;28 Madrid;Unemployment rate;2022QIII;11,33
Both sexes;28 Madrid;Unemployment rate;2022QII;10,18
Both sexes;28 Madrid;Unemployment rate;2022QI;11,85
Both sexes;28 Madrid;Unemployment rate;2021QIV;10,12
Both sexes;28 Madrid;Unemployment rate;2021QIII;11,84
Both sexes;28 Madrid;Unemployment rate;2021QII;12,09
Both sexes;28 Madrid;Unemployment rate;2021QI;12,15
Both sexes;28 Madrid;Employment rate;2023QIV;57,42
Both sexes;28 Madrid;Employment rate;2023QIII;56,64
Both sexes;28 Madrid;Employment rate;2023QII;57,36
Both sexes;28 Madrid;Employment rate;2023QI;56,32
Both sexes;28 Madrid;Employment rate;2022QIV;55,93
Both sexes;28 Madrid;Employment rate;2022QIII;55,78
Both sexes;28 Madrid;Employment rate;2022QII;57,29
Both sexes;28 Madrid;Employment rate;2022QI;56,33
Both sexes;28 Madrid;Employment rate;2021QIV;56,68
Both sexes;28 Madrid;Employment rate;2021QIII;56
Both sexes;28 Madrid;Employment rate;2021QII;55,95
Both sexes;28 Madrid;Employment rate;2021QI;55,62
Both sexes;29 Málaga;Activity rate;2023QIV;58,27
Both sexes;29 Málaga;Activity rate;2023QIII;58,77
Both sexes;29 Málaga;Activity rate;2023QII;58,21
Both sexes;29 Málaga;Activity rate;2023QI;57,64
Both sexes;29 Málaga;Activity rate;2022QIV;57,17
Both sexes;29 Málaga;Activity rate;2022QIII;57,39
Both sexes;29 Málaga;Activity rate;2022QII;56,97
Both sexes;29 Málaga;Activity rate;2022QI;56,41
Both sexes;29 Málaga;Activity rate;2021QIV;58,31
Both sexes;29 Málaga;Activity rate;2021QIII;57,86
Both sexes;29 Málaga;Activity rate;2021QII;56,63
Both sexes;29 Málaga;Activity rate;2021QI;55,92
Both sexes;29 Málaga;Unemployment rate;2023QIV;16,49
Both sexes;29 Málaga;Unemployment rate;2023QIII;16,05
Both sexes;29 Málaga;Unemployment rate;2023QII;15,82
Both sexes;29 Málaga;Unemployment rate;2023QI;18,41
Both sexes;29 Málaga;Unemployment rate;2022QIV;19,37
Both sexes;29 Málaga;Unemployment rate;2022QIII;15,89
Both sexes;29 Málaga;Unemployment rate;2022QII;17,76
Both sexes;29 Málaga;Unemployment rate;2022QI;20,16
Both sexes;29 Málaga;Unemployment rate;2021QIV;19,79
Both sexes;29 Málaga;Unemployment rate;2021QIII;20,18
Both sexes;29 Málaga;Unemployment rate;2021QII;19,08
Both sexes;29 Málaga;Unemployment rate;2021QI;22,42
Both sexes;29 Málaga;Employment rate;2023QIV;48,66
Both sexes;29 Málaga;Employment rate;2023QIII;49,33
Both sexes;29 Málaga;Employment rate;2023QII;49
Both sexes;29 Málaga;Employment rate;2023QI;47,03
Both sexes;29 Málaga;Employment rate;2022QIV;46,1
Both sexes;29 Málaga;Employment rate;2022QIII;48,27
Both sexes;29 Málaga;Employment rate;2022QII;46,85
Both sexes;29 Málaga;Employment rate;2022QI;45,03
Both sexes;29 Málaga;Employment rate;2021QIV;46,77
Both sexes;29 Málaga;Employment rate;2021QIII;46,18
Both sexes;29 Málaga;Employment rate;2021QII;45,83
Both sexes;29 Málaga;Employment rate;2021QI;43,39
Both sexes;30 Murcia;Activity rate;2023QIV;59,34
Both sexes;30 Murcia;Activity rate;2023QIII;60,52
Both sexes;30 Murcia;Activity rate;2023QII;59,54
Both sexes;30 Murcia;Activity rate;2023QI;59,27
Both sexes;30 Murcia;Activity rate;2022QIV;59,66
Both sexes;30 Murcia;Activity rate;2022QIII;59,68
Both sexes;30 Murcia;Activity rate;2022QII;59,93
Both sexes;30 Murcia;Activity rate;2022QI;59,54
Both sexes;30 Murcia;Activity rate;2021QIV;59,99
Both sexes;30 Murcia;Activity rate;2021QIII;61,61
Both sexes;30 Murcia;Activity rate;2021QII;60,38
Both sexes;30 Murcia;Activity rate;2021QI;59,33
Both sexes;30 Murcia;Unemployment rate;2023QIV;11,32
Both sexes;30 Murcia;Unemployment rate;2023QIII;13,39
Both sexes;30 Murcia;Unemployment rate;2023QII;12,35
Both sexes;30 Murcia;Unemployment rate;2023QI;13,48
Both sexes;30 Murcia;Unemployment rate;2022QIV;12,89
Both sexes;30 Murcia;Unemployment rate;2022QIII;14,54
Both sexes;30 Murcia;Unemployment rate;2022QII;12,18
Both sexes;30 Murcia;Unemployment rate;2022QI;13,44
Both sexes;30 Murcia;Unemployment rate;2021QIV;12,92
Both sexes;30 Murcia;Unemployment rate;2021QIII;14,65
Both sexes;30 Murcia;Unemployment rate;2021QII;13,15
Both sexes;30 Murcia;Unemployment rate;2021QI;16,42
Both sexes;30 Murcia;Employment rate;2023QIV;52,62
Both sexes;30 Murcia;Employment rate;2023QIII;52,41
Both sexes;30 Murcia;Employment rate;2023QII;52,19
Both sexes;30 Murcia;Employment rate;2023QI;51,28
Both sexes;30 Murcia;Employment rate;2022QIV;51,96
Both sexes;30 Murcia;Employment rate;2022QIII;51
Both sexes;30 Murcia;Employment rate;2022QII;52,63
Both sexes;30 Murcia;Employment rate;2022QI;51,54
Both sexes;30 Murcia;Employment rate;2021QIV;52,24
Both sexes;30 Murcia;Employment rate;2021QIII;52,58
Both sexes;30 Murcia;Employment rate;2021QII;52,44
Both sexes;30 Murcia;Employment rate;2021QI;49,59
Both sexes;31 Navarra;Activity rate;2023QIV;59,07
Both sexes;31 Navarra;Activity rate;2023QIII;59,51
Both sexes;31 Navarra;Activity rate;2023QII;58,84
Both sexes;31 Navarra;Activity rate;2023QI;58,78
Both sexes;31 Navarra;Activity rate;2022QIV;59,33
Both sexes;31 Navarra;Activity rate;2022QIII;58,63
Both sexes;31 Navarra;Activity rate;2022QII;58,7
Both sexes;31 Navarra;Activity rate;2022QI;59,24
Both sexes;31 Navarra;Activity rate;2021QIV;58,85
Both sexes;31 Navarra;Activity rate;2021QIII;59,08
Both sexes;31 Navarra;Activity rate;2021QII;58,47
Both sexes;31 Navarra;Activity rate;2021QI;57,88
Both sexes;31 Navarra;Unemployment rate;2023QIV;9,32
Both sexes;31 Navarra;Unemployment rate;2023QIII;9,29
Both sexes;31 Navarra;Unemployment rate;2023QII;8,79
Both sexes;31 Navarra;Unemployment rate;2023QI;12,13
Both sexes;31 Navarra;Unemployment rate;2022QIV;10,09
Both sexes;31 Navarra;Unemployment rate;2022QIII;8,99
Both sexes;31 Navarra;Unemployment rate;2022QII;8,76
Both sexes;31 Navarra;Unemployment rate;2022QI;10,44
Both sexes;31 Navarra;Unemployment rate;2021QIV;9,93
Both sexes;31 Navarra;Unemployment rate;2021QIII;10,7
Both sexes;31 Navarra;Unemployment rate;2021QII;10,3
Both sexes;31 Navarra;Unemployment rate;2021QI;11,45
Both sexes;31 Navarra;Employment rate;2023QIV;53,56
Both sexes;31 Navarra;Employment rate;2023QIII;53,98
Both sexes;31 Navarra;Employment rate;2023QII;53,67
Both sexes;31 Navarra;Employment rate;2023QI;51,65
Both sexes;31 Navarra;Employment rate;2022QIV;53,35
Both sexes;31 Navarra;Employment rate;2022QIII;53,35
Both sexes;31 Navarra;Employment rate;2022QII;53,56
Both sexes;31 Navarra;Employment rate;2022QI;53,06
Both sexes;31 Navarra;Employment rate;2021QIV;53
Both sexes;31 Navarra;Employment rate;2021QIII;52,76
Both sexes;31 Navarra;Employment rate;2021QII;52,45
Both sexes;31 Navarra;Employment rate;2021QI;51,26
Both sexes;32 Ourense;Activity rate;2023QIV;49,4
Both sexes;32 Ourense;Activity rate;2023QIII;48,97
Both sexes;32 Ourense;Activity rate;2023QII;49,2
Both sexes;32 Ourense;Activity rate;2023QI;47,58
Both sexes;32 Ourense;Activity rate;2022QIV;47,61
Both sexes;32 Ourense;Activity rate;2022QIII;49,27
Both sexes;32 Ourense;Activity rate;2022QII;48,99
Both sexes;32 Ourense;Activity rate;2022QI;48,49
Both sexes;32 Ourense;Activity rate;2021QIV;48,18
Both sexes;32 Ourense;Activity rate;2021QIII;48,58
Both sexes;32 Ourense;Activity rate;2021QII;48,06
Both sexes;32 Ourense;Activity rate;2021QI;47,86
Both sexes;32 Ourense;Unemployment rate;2023QIV;9,77
Both sexes;32 Ourense;Unemployment rate;2023QIII;8,64
Both sexes;32 Ourense;Unemployment rate;2023QII;9,05
Both sexes;32 Ourense;Unemployment rate;2023QI;11,43
Both sexes;32 Ourense;Unemployment rate;2022QIV;11,64
Both sexes;32 Ourense;Unemployment rate;2022QIII;11,52
Both sexes;32 Ourense;Unemployment rate;2022QII;10,84
Both sexes;32 Ourense;Unemployment rate;2022QI;11,66
Both sexes;32 Ourense;Unemployment rate;2021QIV;10,21
Both sexes;32 Ourense;Unemployment rate;2021QIII;9,77
Both sexes;32 Ourense;Unemployment rate;2021QII;12,59
Both sexes;32 Ourense;Unemployment rate;2021QI;11,63
Both sexes;32 Ourense;Employment rate;2023QIV;44,57
Both sexes;32 Ourense;Employment rate;2023QIII;44,74
Both sexes;32 Ourense;Employment rate;2023QII;44,74
Both sexes;32 Ourense;Employment rate;2023QI;42,14
Both sexes;32 Ourense;Employment rate;2022QIV;42,07
Both sexes;32 Ourense;Employment rate;2022QIII;43,59
Both sexes;32 Ourense;Employment rate;2022QII;43,68
Both sexes;32 Ourense;Employment rate;2022QI;42,84
Both sexes;32 Ourense;Employment rate;2021QIV;43,26
Both sexes;32 Ourense;Employment rate;2021QIII;43,84
Both sexes;32 Ourense;Employment rate;2021QII;42,01
Both sexes;32 Ourense;Employment rate;2021QI;42,29
Both sexes;34 Palencia;Activity rate;2023QIV;55,52
Both sexes;34 Palencia;Activity rate;2023QIII;55,41
Both sexes;34 Palencia;Activity rate;2023QII;55,54
Both sexes;34 Palencia;Activity rate;2023QI;54,62
Both sexes;34 Palencia;Activity rate;2022QIV;55,84
Both sexes;34 Palencia;Activity rate;2022QIII;57,21
Both sexes;34 Palencia;Activity rate;2022QII;55,84
Both sexes;34 Palencia;Activity rate;2022QI;53,51
Both sexes;34 Palencia;Activity rate;2021QIV;54,01
Both sexes;34 Palencia;Activity rate;2021QIII;54,15
Both sexes;34 Palencia;Activity rate;2021QII;54,21
Both sexes;34 Palencia;Activity rate;2021QI;52,72
Both sexes;34 Palencia;Unemployment rate;2023QIV;6,92
Both sexes;34 Palencia;Unemployment rate;2023QIII;6,61
Both sexes;34 Palencia;Unemployment rate;2023QII;8,59
Both sexes;34 Palencia;Unemployment rate;2023QI;10,39
Both sexes;34 Palencia;Unemployment rate;2022QIV;8,5
Both sexes;34 Palencia;Unemployment rate;2022QIII;7,28
Both sexes;34 Palencia;Unemployment rate;2022QII;10,52
Both sexes;34 Palencia;Unemployment rate;2022QI;10,17
Both sexes;34 Palencia;Unemployment rate;2021QIV;9,47
Both sexes;34 Palencia;Unemployment rate;2021QIII;8,81
Both sexes;34 Palencia;Unemployment rate;2021QII;9,53
Both sexes;34 Palencia;Unemployment rate;2021QI;11
Both sexes;34 Palencia;Employment rate;2023QIV;51,68
Both sexes;34 Palencia;Employment rate;2023QIII;51,75
Both sexes;34 Palencia;Employment rate;2023QII;50,77
Both sexes;34 Palencia;Employment rate;2023QI;48,95
Both sexes;34 Palencia;Employment rate;2022QIV;51,1
Both sexes;34 Palencia;Employment rate;2022QIII;53,05
Both sexes;34 Palencia;Employment rate;2022QII;49,97
Both sexes;34 Palencia;Employment rate;2022QI;48,07
Both sexes;34 Palencia;Employment rate;2021QIV;48,9
Both sexes;34 Palencia;Employment rate;2021QIII;49,38
Both sexes;34 Palencia;Employment rate;2021QII;49,05
Both sexes;34 Palencia;Employment rate;2021QI;46,92
Both sexes;35 Palmas, Las;Activity rate;2023QIV;61,58
Both sexes;35 Palmas, Las;Activity rate;2023QIII;60,49
Both sexes;35 Palmas, Las;Activity rate;2023QII;60,29
Both sexes;35 Palmas, Las;Activity rate;2023QI;62,3
Both sexes;35 Palmas, Las;Activity rate;2022QIV;60,9
Both sexes;35 Palmas, Las;Activity rate;2022QIII;61,45
Both sexes;35 Palmas, Las;Activity rate;2022QII;60,59
Both sexes;35 Palmas, Las;Activity rate;2022QI;60,06
Both sexes;35 Palmas, Las;Activity rate;2021QIV;60,62
Both sexes;35 Palmas, Las;Activity rate;2021QIII;60,88
Both sexes;35 Palmas, Las;Activity rate;2021QII;57,46
Both sexes;35 Palmas, Las;Activity rate;2021QI;55,35
Both sexes;35 Palmas, Las;Unemployment rate;2023QIV;15,48
Both sexes;35 Palmas, Las;Unemployment rate;2023QIII;14,64
Both sexes;35 Palmas, Las;Unemployment rate;2023QII;14,4
Both sexes;35 Palmas, Las;Unemployment rate;2023QI;15,28
Both sexes;35 Palmas, Las;Unemployment rate;2022QIV;13,28
Both sexes;35 Palmas, Las;Unemployment rate;2022QIII;17,63
Both sexes;35 Palmas, Las;Unemployment rate;2022QII;18,06
Both sexes;35 Palmas, Las;Unemployment rate;2022QI;20,51
Both sexes;35 Palmas, Las;Unemployment rate;2021QIV;18,18
Both sexes;35 Palmas, Las;Unemployment rate;2021QIII;24,27
Both sexes;35 Palmas, Las;Unemployment rate;2021QII;23,86
Both sexes;35 Palmas, Las;Unemployment rate;2021QI;25,65
Both sexes;35 Palmas, Las;Employment rate;2023QIV;52,05
Both sexes;35 Palmas, Las;Employment rate;2023QIII;51,63
Both sexes;35 Palmas, Las;Employment rate;2023QII;51,61
Both sexes;35 Palmas, Las;Employment rate;2023QI;52,78
Both sexes;35 Palmas, Las;Employment rate;2022QIV;52,81
Both sexes;35 Palmas, Las;Employment rate;2022QIII;50,61
Both sexes;35 Palmas, Las;Employment rate;2022QII;49,65
Both sexes;35 Palmas, Las;Employment rate;2022QI;47,74
Both sexes;35 Palmas, Las;Employment rate;2021QIV;49,6
Both sexes;35 Palmas, Las;Employment rate;2021QIII;46,1
Both sexes;35 Palmas, Las;Employment rate;2021QII;43,75
Both sexes;35 Palmas, Las;Employment rate;2021QI;41,16
Both sexes;36 Pontevedra;Activity rate;2023QIV;54,39
Both sexes;36 Pontevedra;Activity rate;2023QIII;54,93
Both sexes;36 Pontevedra;Activity rate;2023QII;54,28
Both sexes;36 Pontevedra;Activity rate;2023QI;53,87
Both sexes;36 Pontevedra;Activity rate;2022QIV;53,97
Both sexes;36 Pontevedra;Activity rate;2022QIII;53,81
Both sexes;36 Pontevedra;Activity rate;2022QII;53,96
Both sexes;36 Pontevedra;Activity rate;2022QI;54,23
Both sexes;36 Pontevedra;Activity rate;2021QIV;53,35
Both sexes;36 Pontevedra;Activity rate;2021QIII;54,36
Both sexes;36 Pontevedra;Activity rate;2021QII;53,65
Both sexes;36 Pontevedra;Activity rate;2021QI;53,09
Both sexes;36 Pontevedra;Unemployment rate;2023QIV;10,41
Both sexes;36 Pontevedra;Unemployment rate;2023QIII;10,78
Both sexes;36 Pontevedra;Unemployment rate;2023QII;10,72
Both sexes;36 Pontevedra;Unemployment rate;2023QI;11,71
Both sexes;36 Pontevedra;Unemployment rate;2022QIV;11,7
Both sexes;36 Pontevedra;Unemployment rate;2022QIII;13,16
Both sexes;36 Pontevedra;Unemployment rate;2022QII;12,41
Both sexes;36 Pontevedra;Unemployment rate;2022QI;13,52
Both sexes;36 Pontevedra;Unemployment rate;2021QIV;12,69
Both sexes;36 Pontevedra;Unemployment rate;2021QIII;13,16
Both sexes;36 Pontevedra;Unemployment rate;2021QII;14,65
Both sexes;36 Pontevedra;Unemployment rate;2021QI;15,22
Both sexes;36 Pontevedra;Employment rate;2023QIV;48,73
